ORIGIN_ORGANISATION_NUMBER,BUSINESS_ORGANISATION_NUMBER,ORGANISATION_LOCATION_ID,LOCATION_FUNCTION,GEOGRAPHIC_LOCATION,ATTRIBUTES,CREATED_TIMESTAMP,LOADED_TIMESTAMP
1,17,9962,point of sale,,"{
  ""r_format"": ""Corporate"",
  ""r_region"": ""Zonal Pricing Dummy Stores"",
  ""r_store_name"": ""ORMS Test Store - Core Wales""
}",2021-02-22 18:02:23.603,2021-03-04 14:09:48.161
1,17,90529,point of sale,,"{
  ""r_postcode"": ""DN17 4DR"",
  ""r_store_name"": ""McColls CROWLE HIGH STREET""
}",2021-02-22 18:02:23.603,2021-03-04 14:09:48.161
1,17,4,point of sale,"{
  ""coordinates"": [
    -1.787098000000000e+00,
    5.379804600000000e+01
  ],
  ""type"": ""Point""
}","{
  ""r_format"": ""Supermarket"",
  ""r_postcode"": ""BD8 9TP"",
  ""r_region"": ""North"",
  ""r_store_name"": ""VICTORIA""
}",2021-02-22 18:02:23.603,2021-03-04 14:09:48.161
1,17,1100989,point of sale,,"{
  ""r_store_name"": ""WAKEFIELD GROCERY DUMMY WAREHOUSE""
}",2021-02-22 18:02:23.603,2021-03-04 14:09:48.161
1,17,631,point of sale,,"{
  ""r_format"": ""Convenience"",
  ""r_region"": ""UNASSIGNED-RGN"",
  ""r_store_name"": ""C SOUTHAMPTON SHIRLEY""
}",2021-02-22 18:02:23.603,2021-03-04 14:09:48.161
1,17,90046,point of sale,,"{
  ""r_postcode"": ""SS14 3DS"",
  ""r_store_name"": ""McColls BASILDON HONEYWOOD ROAD""
}",2021-02-22 18:02:23.603,2021-03-04 14:09:48.161
1,17,96670,point of sale,,"{
  ""r_postcode"": ""TS23 1AE"",
  ""r_store_name"": ""McColls BILLINGHAM 55-57 STATION RD""
}",2021-02-22 18:02:23.603,2021-03-04 14:09:48.161
1,17,94811,point of sale,,"{
  ""r_postcode"": ""CA1 3LA"",
  ""r_store_name"": ""McColls HARRABY CUMWHINTON ROAD""
}",2021-02-22 18:02:23.603,2021-03-04 14:09:48.161
1,17,859,distribution location,,"{
  ""r_depot_name"": ""Woodhead Bros Spalding"",
  ""r_depot_type"": ""Manufacturing - Meat"",
  ""r_postcode"": ""PE11 3YY""
}",2021-02-22 18:02:23.603,2021-03-04 14:09:48.161
1,17,726,point of sale,,"{
  ""r_format"": ""Central Canteen"",
  ""r_region"": ""South East"",
  ""r_store_name"": ""BRIDGWATER WMPL CANTEEN""
}",2021-02-22 18:02:23.603,2021-03-04 14:09:48.161
