DAY_DATE,SOURCE_DB_ID,ORGANISATION_LOCATION_ID_FROM,ORGANISATION_LOCATION_ID_TO,ORGANISATION_SKU,UNITS_ORDERED,UNITS_FULFILLED,CREATED_TIMESTAMP,LOADED_TIMESTAMP
2020-02-09,17,809,173,107040918,,0,2021-02-22 18:02:23.603,2021-03-04 14:09:36.353
2020-02-09,17,807,148,110808941,,0,2021-02-22 18:02:23.603,2021-03-04 14:09:36.353
2020-02-08,17,718,652,105026119,,0,2021-02-22 18:02:23.603,2021-03-04 14:09:36.353
2020-02-10,17,924,137,110623612,,0,2021-02-22 18:02:23.603,2021-03-04 14:09:36.353
2020-02-09,17,711,55,101560461,,0,2021-02-22 18:02:23.603,2021-03-04 14:09:36.353
2020-02-09,17,803,633,108787861,,0,2021-02-22 18:02:23.603,2021-03-04 14:09:36.353
2020-02-08,17,711,282,110650151,,1,2021-02-22 18:02:23.603,2021-03-04 14:09:36.353
2020-02-08,17,971,508,110946614,,0,2021-02-22 18:02:23.603,2021-03-04 14:09:36.353
2020-02-08,17,952,126,110906495,,0,2021-02-22 18:02:23.603,2021-03-04 14:09:36.353
2020-02-09,17,992,224,102374775,,0,2021-02-22 18:02:23.603,2021-03-04 14:09:36.353
