BASE_FORECAST_DATE,FORECAST_DATE,SOURCE_DB_ID,ORGANISATION_LOCATION_ID_FROM,ORGANISATION_LOCATION_ID_TO,ORGANISATION_SKU,UNITS_REQUIRED,UNITS_REQUIRED_UPPER,UNITS_REQUIRED_LOWER,FORECAST_COMPONENTS,CREATED_AT,MODEL_VERSION,STATUS,ORIGIN_FILE,CREATED_TIMESTAMP,LOADED_TIMESTAMP
2020-02-10,2020-02-10,17,924,316,110845717,0,,,,,morrison v1,,,2021-02-22 18:02:23.603,2021-03-04 14:37:47.541
2020-02-10,2020-02-10,17,709,304,109262047,0,,,,,morrison v1,,,2021-02-22 18:02:23.603,2021-03-04 14:37:47.541
2020-02-10,2020-02-10,17,806,152,106080459,0,,,,,morrison v1,,,2021-02-22 18:02:23.603,2021-03-04 14:37:47.541
2020-02-08,2020-02-08,17,809,379,108634700,1,,,,,morrison v1,,,2021-02-22 18:02:23.603,2021-03-04 14:37:47.541
2020-02-10,2020-02-10,17,924,104,110619488,0,,,,,morrison v1,,,2021-02-22 18:02:23.603,2021-03-04 14:37:47.541
2020-02-09,2020-02-09,17,711,33,110806347,0,,,,,morrison v1,,,2021-02-22 18:02:23.603,2021-03-04 14:37:47.541
2020-02-09,2020-02-09,17,720,84,105821059,0,,,,,morrison v1,,,2021-02-22 18:02:23.603,2021-03-04 14:37:47.541
2020-02-09,2020-02-09,17,720,330,104505564,0,,,,,morrison v1,,,2021-02-22 18:02:23.603,2021-03-04 14:37:47.541
2020-02-08,2020-02-08,17,806,117,110250887,1,,,,,morrison v1,,,2021-02-22 18:02:23.603,2021-03-04 14:37:47.541
2020-02-08,2020-02-08,17,990,7,104274356,0,,,,,morrison v1,,,2021-02-22 18:02:23.603,2021-03-04 14:37:47.541
