BASE_FORECAST_DATE,FORECAST_DATE,SOURCE_DB_ID,SUBJECT_BUSINESS_ORGANISATION_NUMBER,SUBJECT_ORGANISATION_LOCATION_ID_TO,ORGANISATION_SKU,UNITS_REQUIRED,UNITS_REQUIRED_UPPER,UNITS_REQUIRED_LOWER,FORECAST_COMPONENTS,CREATED_AT,MODEL_VERSION,ORIGIN_FILE,CREATED_TIMESTAMP,LOADED_TIMESTAMP
2021-06-11,2021-06-19,morrisons,morrisons,293,111231506,0,,,,,morrisons v1,,2021-06-12 12:05:45.130,2021-06-16 11:15:11.004
2021-06-11,2021-06-19,morrisons,morrisons,62,100418682,1,,,,,morrisons v1,,2021-06-12 12:05:49.075,2021-06-16 11:15:11.004
2021-06-11,2021-06-23,morrisons,morrisons,35,100684577,0,,,,,morrisons v1,,2021-06-12 12:05:47.037,2021-06-16 11:15:11.004
2021-06-11,2021-06-18,morrisons,morrisons,389,105261776,0,,,,,morrisons v1,,2021-06-12 12:05:51.413,2021-06-16 11:15:11.004
2021-06-11,2021-06-13,morrisons,morrisons,648,100153477,0,,,,,morrisons v1,,2021-06-12 12:05:50.122,2021-06-16 11:15:11.004
2021-06-11,2021-06-19,morrisons,morrisons,81,106064150,0,,,,,morrisons v1,,2021-06-12 12:05:49.075,2021-06-16 11:15:11.004
2021-06-11,2021-06-15,morrisons,morrisons,485,108843608,1,,,,,morrisons v1,,2021-06-12 12:05:47.037,2021-06-16 11:15:11.004
2021-06-11,2021-06-11,morrisons,morrisons,252,109193571,0,,,,,morrisons v1,,2021-06-12 12:05:43.825,2021-06-16 11:15:11.004
2021-06-11,2021-06-22,morrisons,morrisons,119,108610661,0,,,,,morrisons v1,,2021-06-12 12:05:48.904,2021-06-16 11:15:11.004
2021-06-11,2021-06-12,morrisons,morrisons,340,105150339,1,,,,,morrisons v1,,2021-06-12 12:05:53.937,2021-06-16 11:15:11.004
